"n_points","one_area","lon","lat"
518,"IRQ",43.7722378,33.04801462
17846,"ITA",12.15507355,43.52557329
20908,"IVO",-5.55550501,7.63171961
1,"JAM",-77.31974834,18.15132857
352038,"JAP",138.02894851,37.60209081
15632,"JAW",110.07670308,-7.28863437
94,"JNF",-79.537658,-33.66269944
3627,"KAM",163.00801347,58.928288
105680,"KAN",-98.36925056,38.48363463
2902,"KAZ",67.30130123,48.16004423
143,"KEG",69.47951572,-49.28875155
16963,"KEN",37.85786204,0.52977986
2340,"KGZ",74.55549193,41.4649087
3722,"KHA",137.12908698,54.58518626
32293,"KOR",127.46092258,38.51116984
13438,"KRA",95.90105951,67.2499994
5624,"KRI",24.94808966,35.24379018
248,"KRY",34.3248095,45.27482524
4377,"KTY",-85.28771942,37.52748969
755,"KUR",150.79748154,46.9490112
214,"KUW",47.59352635,29.34250656
51,"KZN",141.30860869,24.93904505
1110,"LAB",-61.95852761,54.28513133
2178,"LAO",103.76341319,18.50244319
4699,"LBR",-9.30785074,6.44811663
2144,"LBS",38.37255385,34.95744231
200,"LBY",18.02318175,27.04405009
1,"LDV",72.88334884,9.90759108
123,"LEE",-62.28954902,16.92084642
1090,"LES",28.24284307,-29.5810053
3,"LIN",-157.22793338,0.83354452
11501,"LOU",-92.01956256,31.07581713
2959,"LSI",123.08090575,-8.63369463
4357,"MAG",128.53942394,65.14920159
7214,"MAI",-69.22759999,45.39587882
19283,"MAN",-97.43005757,54.92648933
13629,"MAS",-71.80907678,42.25862899
26,"MCI",44.84032317,-14.52701328
137524,"MDG",46.70598974,-19.37352737
228,"MDR",-16.94699093,32.76736726
69801,"MIC",-85.7362084,44.88051006
78591,"MIN",-94.1991062,46.34787407
3226,"MLI",-3.52435208,17.35036278
2751,"MLW",34.30698695,-13.21511579
8743,"MLY",102.17839952,4.02825781
9698,"MNT",-109.62398347,47.03479245
8321,"MOL",127.99049954,-1.42061875
5953,"MON",103.08302896,46.8352093
21564,"MOR",-6.31754552,31.88413167
21947,"MOZ",35.55224706,-17.26020232
9,"MPE",37.76015675,-46.85955871
36,"MRN",145.19641937,14.90032954
315,"MRQ",-139.5863238,-9.36553616
6,"MRS",168.61039428,8.42167996
9386,"MRY",-76.79724029,39.04679397
4324,"MSI",-89.67327133,32.75582597
69467,"MSO",-92.49049605,38.37437865
653,"MTN",-10.33225759,20.25990345
106076,"MXC",-98.58581435,19.13108596
227910,"MXE",-103.06075194,25.85226948
64115,"MXG",-96.405429,19.37738436
2068,"MXI",-115.55971857,24.96193755
140494,"MXN",-111.37898581,28.49122261
280112,"MXS",-100.70238843,18.84794656
158743,"MXT",-90.55872947,18.50799061
4189,"MYA",96.50882912,21.14042439
12188,"NAM",17.07189693,-22.23553957
18477,"NAT",30.72508497,-28.7085677
2116,"NBR",-66.37001739,46.63101173
19151,"NCA",-79.38015679,35.54958921
36,"NCB",93.60166544,7.50716489
17899,"NCS",42.86217833,44.34380339
7382,"NDA",-100.45941516,47.44750073
15502,"NEB",-99.79214758,41.52790501
6710,"NEP",83.938516,28.25300795
4280,"NET",5.60098481,52.25357258
42200,"NEV",-116.6521158,39.35827473
1177,"NFL",-56.02938217,48.71653404
11137,"NGA",8.10531839,9.59362459
626,"NGR",9.39765057,17.42632347
45026,"NIC",-85.03470963,12.839712
3,"NLA",-68.69280777,12.18787645
4084,"NNS",126.69988975,25.77340564
312829,"NOR",14.07512794,64.44787198
1422,"NSC",-63.30227022,45.14835243
478822,"NSW",147.01878749,-32.18031229
242921,"NTA",133.36521379,-19.41428342
13986,"NUN",-88.91446901,71.04867652
30538,"NWC",165.67184978,-21.29461419
49810,"NWG",140.83232114,-5.34595233
4749,"NWH",-71.5792793,43.68999511
12679,"NWJ",-74.66262909,40.18920093
68995,"NWM",-106.10768765,34.42306424
12238,"NWT",-118.98234351,66.33106742
27188,"NWY",-75.69458709,42.99492034
35016,"NZN",175.72721777,-38.57756132
41426,"NZS",170.4796022,-44.02210596
6017,"OFS",26.86433218,-28.61014393
435,"OGA",142.11780321,27.00808255
2366,"OHI",-82.70728238,40.41552797
12756,"OKL",-97.50981445,35.58437196
2033,"OMA",56.11008523,20.60235556
47938,"ONT",-85.83256685,50.07309622
87969,"ORE",-120.54087574,43.94031793
9223,"PAK",68.78919432,29.35662229
2078,"PAL",36.37619652,31.30791811
69503,"PAN",-80.10899702,8.50542914
28212,"PAR",-58.39095073,-23.23612804
282,"PEI",-63.24493638,46.39620383
8262,"PEN",-77.83950118,40.89843684
132684,"PER",-74.37540458,-9.16377219
5713,"PHI",122.87363203,11.74740395
1,"PHX",-171.7279731,-3.41946731
5262,"POL",19.4009187,52.12472508
9977,"POR",-7.96236769,39.69200296
9096,"PRM",134.71377463,45.16706365
15246,"PUE",-66.46614558,18.2209154
420088,"QLD",144.54819334,-22.57373243
56654,"QUE",-71.75499676,53.38114914
205,"REU",55.53821274,-21.12162946
